,6-idle-img3-cnn6-0999-data_set_uncertain_time1-,converged_iterations,total_time,min
la16_100_25,1033.0,30.0,2.1410396099090576,0.0
la16_100_50,1136.0,30.0,2.1639671325683594,0.0
la16_100_75,1103.0,30.0,2.2339706420898438,0.0
la16_25_25,1046.0,30.0,2.4247448444366455,0.0
la16_25_50,1072.0,30.0,2.3170063495635986,0.0
la16_25_75,1102.0,30.0,2.2618937492370605,0.0
la16_50_25,1039.0,30.0,2.163938522338867,0.0
la16_50_50,1080.0,30.0,2.07749080657959,0.0
la16_50_75,1117.0,30.0,2.155608892440796,0.0
la16_75_25,1057.0,30.0,2.0774986743927,0.0
la16_75_50,1059.0,30.0,2.1712770462036133,0.0
la16_75_75,1115.0,30.0,2.0596163272857666,0.0
la26_100_25,1293.0,30.0,5.25997519493103,0.0
la26_100_50,1395.0,30.0,5.049299001693726,0.0
la26_100_75,1342.0,30.0,5.590155363082886,0.0
la26_25_25,1342.0,30.0,5.308075428009033,0.0
la26_25_50,1345.0,30.0,5.236850023269653,0.0
la26_25_75,1348.0,30.0,4.965153932571411,0.0
la26_50_25,1353.0,30.0,4.861129522323608,0.0
la26_50_50,1341.0,30.0,5.0058979988098145,0.0
la26_50_75,1393.0,30.0,5.0458667278289795,0.0
la26_75_25,1305.0,30.0,4.694093465805054,0.0
la26_75_50,1381.0,30.0,4.6608726978302,0.0
la26_75_75,1445.0,30.0,4.498936891555786,0.0
la31_100_25,1835.0,30.0,7.782461404800415,0.0
la31_100_50,1846.0,30.0,7.826279163360596,0.0
la31_100_75,1989.0,30.0,7.810656785964966,0.0
la31_25_25,1771.0,30.0,7.826274394989014,0.0
la31_25_50,1907.0,30.0,7.795065879821777,0.0
la31_25_75,1846.0,30.0,7.8418965339660645,0.0
la31_50_25,1746.0,30.0,7.826273679733276,0.0
la31_50_50,1841.0,30.0,7.904385328292847,0.0
la31_50_75,1778.0,30.0,7.904381513595581,0.0
la31_75_25,1811.0,30.0,7.695162296295166,0.0
la31_75_50,1838.0,30.0,7.576368570327759,0.0
la31_75_75,1870.0,30.0,8.52639651298523,0.0
ta41_100_25,2422.0,30.0,21.77706813812256,0.0
ta41_100_50,2476.0,30.0,21.881009340286255,0.0
ta41_100_75,2664.0,30.0,21.800368309020996,0.0
ta41_25_25,2496.0,30.0,22.050053119659424,0.0
ta41_25_50,2479.0,30.0,20.324697732925415,0.0
ta41_25_75,2493.0,30.0,24.232901096343994,0.0
ta41_50_25,2477.0,30.0,21.821584939956665,0.0
ta41_50_50,2461.0,30.0,23.020947456359863,0.0
ta41_50_75,2562.0,30.0,21.64611506462097,0.0
ta41_75_25,2475.0,30.0,28.274975061416626,0.0
ta41_75_50,2456.0,30.0,24.71349024772644,0.0
ta41_75_75,2665.0,30.0,21.89755368232727,0.0
